Event                           , Max. Rating , Experience Level , Fee (Inc. GST)
Open Singles                    , ∞           , Elite            ,
Open Doubles                    , ∞           , Elite            ,
Division 1 Singles              ,             , Advance          ,
Division 2 Singles              ,             , Intermediate     ,
Division 1 & 2 Doubles          ,             , Advance          ,
Division 3 Singles              ,             , Amateur          ,
Division 3 Doubles              ,             , Amateur          ,
Division 4 Singles              ,             , Beginner         ,
Division 5 Singles              ,             , Casual           ,
Division 4 & 5 Doubles          ,             , Beginner         ,
