Event                           , Winner                           , Finalist                         , Semi-Finalist
Open Singles                    , $500 Cash\n$200 Voucher†\nTrophy , $100 Cash\n$100 Voucher†\nTrophy , $15 Voucher†
Division 1 Singles              , $150 Cash\n$150 Voucher†\nTrophy , $80 Cash\n$80 Voucher†\nTrophy   , $15 Voucher†
Division 2 Singles              , $100 Cash\n$100 Voucher†\nTrophy , $50 Cash\n$50 Voucher†\nTrophy   , $15 Voucher†
Division 3 Singles              , $70 Cash\n$70 Voucher†\nTrophy   , $40 Cash\n$40 Voucher†\nTrophy   , $15 Voucher†
Division 4 Singles              , $40 Cash\n$40 Voucher†\nTrophy   , $20 Cash\n$20 Voucher†\nTrophy   , $15 Voucher†
Division 5 Singles              , $50 Voucher†\nTrophy             , $25 Voucher†\nTrophy             , $15 Voucher†
Open Doubles                    , $300 Voucher†                    , $150 Voucher†                    ,
Division 1 & 2 Doubles          , $200 Voucher†                    , $100 Voucher†                    ,
Division 3 Doubles              , $60 Voucher†                     , $30 Voucher†                     ,
Division 4 & 5 Doubles          , $40 Voucher†                     , $20 Voucher†                     ,
